Country name,Year,65+ years,25-64 years,15-24 years,5-14 years,Under-5s
Brunei,2017,19622,239755,69605,66880,34428
Brunei,2018,20997,243106,69294,66921,33965
Brunei,2019,22518,246179,68908,67103,33350
Brunei,2020,24153,249116,68463,67344,32660
Brunei,2021,25885,251953,68019,67555,31970
Cambodia,2017,722855,7475703,2813672,3152521,1665943
Cambodia,2018,765587,7647761,2774367,3178465,1659062
Cambodia,2019,812940,7807004,2737937,3203615,1646250
Cambodia,2020,864542,7947233,2727432,3227329,1630328
Cambodia,2021,917741,8055439,2755375,3247412,1613064
East Timor,2017,68251,437326,266576,314518,156567
East Timor,2018,68995,448753,273868,313030,157204
East Timor,2019,69523,461123,281008,311262,157526
East Timor,2020,69842,474847,288027,309939,157343
East Timor,2021,69818,490233,294681,308903,157309
Indonesia,2017,16782628,134225000,43564500,46431584,23495150
Indonesia,2018,17248206,136133090,43702652,46819304,23163588
Indonesia,2019,17775802,137991780,43824930,47112930,22877436
Indonesia,2020,18240364,139738990,43959650,47291380,22627598
Indonesia,2021,18559456,141328830,44122210,47328376,22414316
Laos,2017,288740,3019660,1424465,1485461,779599
Laos,2018,295154,3105252,1428283,1491070,785249
Laos,2019,303390,3190229,1431347,1497782,789310
Laos,2020,313167,3274837,1434981,1505652,790760
Laos,2021,323523,3358466,1440056,1513306,789704
Malaysia,2017,2010878,16477529,5704300,5164965,2618141
Malaysia,2018,2112080,16855030,5666019,5143966,2622175
Malaysia,2019,2217855,17221474,5616505,5137703,2610488
Malaysia,2020,2327889,17573340,5570767,5137848,2590144
Malaysia,2021,2434270,17897224,5533284,5137033,2572061
Myanmar,2017,3080200,26487690,9136361,9085671,4498421
Myanmar,2018,3196373,26821396,9129613,9011638,4506997
Myanmar,2019,3320775,27142838,9112098,8952982,4511518
Myanmar,2020,3448014,27459162,9094185,8914275,4507562
Myanmar,2021,3565839,27768328,9077959,8894569,4491394
Philippines,2017,5144455,47269684,20252026,22408868,11663461
Philippines,2018,5359300,48454870,20448912,22595636,11710115
Philippines,2019,5599106,49615604,20646336,22752342,11767411
Philippines,2020,5858823,50766384,20852564,22874334,11838874
Philippines,2021,6065460,51870776,21054832,22966300,11922968
Singapore,2017,598112,3694930,762807,478437,230203
Singapore,2018,654893,3713274,736575,472945,236856
Singapore,2019,715448,3728408,706402,469125,247025
Singapore,2020,777399,3740213,674107,466887,251268
Singapore,2021,839234,3747982,641326,466516,246005
Thailand,2017,8529513,40786148,9645714,8173780,3763051
Thailand,2018,8964091,40886996,9484388,8133045,3659288
Thailand,2019,9418582,40939436,9308046,8084952,3556747
Thailand,2020,9899643,40987596,9105159,8020661,3462603
Thailand,2021,10390451,41022344,8875066,7934217,3379029
Vietnam,2017,7025698,50602970,14614960,14238947,7550472
Vietnam,2018,7362988,51372744,14331474,14321759,7525360
Vietnam,2019,7732680,52053668,14096852,14411778,7481736
Vietnam,2020,8144979,52635890,13935202,14503018,7429597
Vietnam,2021,8531506,53125464,13836742,14606157,7368156
